ID_Venda,Data,ID_Cliente,ID_Produto,Quantidade,Canal_Venda,Produto,Categoria,Preco_Unitario,Custo_Unitario,Valor_Total,Custo_Total,Lucro
64,2020-10-26,2409,9,1,Online,Notebook Dell Inspiron i7,Informática,1086.29,653.25,1086.29,653.25,433.03999999999996
65,2023-03-02,82,8,4,Online,Console Xbox Series X,Eletrônicos,4071.16,2400.49,16284.64,9601.96,6682.68
66,2025-04-07,1570,26,1,Loja Física,Cadeira Escritório Presidente,Móveis,1944.73,1335.92,1944.73,1335.92,608.81
67,2024-03-30,2048,19,3,Loja Física,Fogão Consul 5 Bocas,Eletrodomésticos,5102.69,3248.45,15308.07,9745.349999999999,5562.720000000001
68,2022-05-29,914,22,5,Online,Máquina de Lavar LG 12kg,Eletrodomésticos,4764.16,2799.74,23820.8,13998.699999999999,9822.1
69,2020-01-18,1377,27,2,Loja Física,Guarda-Roupa Casal 6 Portas,Móveis,5033.13,3035.73,10066.26,6071.46,3994.8
70,2021-11-11,1789,8,4,Loja Física,Console Xbox Series X,Eletrônicos,4071.16,2400.49,16284.64,9601.96,6682.68
71,2022-07-16,2789,21,4,Online,Lava e Seca Samsung 11kg,Eletrodomésticos,7766.06,4873.27,31064.24,19493.08,11571.16
72,2023-01-24,1205,5,3,Online,TV Box Xiaomi Mi S,Eletrônicos,7523.39,4542.05,22570.170000000002,13626.150000000001,8944.02
73,2025-10-14,2430,27,5,Online,Guarda-Roupa Casal 6 Portas,Móveis,5033.13,3035.73,25165.65,15178.65,9987.000000000002
74,2024-12-27,1911,4,4,Online,Home Theater Sony 5.1,Eletrônicos,4001.32,2408.43,16005.28,9633.72,6371.560000000001
75,2020-07-13,2796,25,4,Online,Mesa de Jantar 6 Lugares,Móveis,4117.42,2372.87,16469.68,9491.48,6978.200000000001
76,2021-01-27,2598,10,6,Online,Notebook Lenovo ThinkPad i5,Informática,6720.74,3840.64,40324.44,23043.84,17280.600000000002
77,2023-07-25,2265,17,6,Online,Geladeira Brastemp Frost Free,Eletrodomésticos,546.67,374.21,3280.0199999999995,2245.2599999999998,1034.7599999999998
78,2025-10-14,1768,2,2,Online,Smart TV LG 50'' UHD,Eletrônicos,6407.56,3703.13,12815.12,7406.26,5408.860000000001
79,2024-06-09,2915,24,3,Loja Física,Sofá Retrátil 3 Lugares,Móveis,3375.09,2300.64,10125.27,6901.92,3223.3500000000004
80,2022-02-22,1971,21,1,Online,Lava e Seca Samsung 11kg,Eletrodomésticos,7766.06,4873.27,7766.06,4873.27,2892.79
81,2025-09-10,2874,7,6,Loja Física,Console PlayStation 5,Eletrônicos,5960.31,3348.83,35761.86,20092.98,15668.880000000001
82,2023-04-29,1767,25,4,Online,Mesa de Jantar 6 Lugares,Móveis,4117.42,2372.87,16469.68,9491.48,6978.200000000001
83,2023-09-25,614,2,6,Online,Smart TV LG 50'' UHD,Eletrônicos,6407.56,3703.13,38445.36,22218.78,16226.580000000002
84,2022-10-11,2696,6,3,Online,Projetor Epson Full HD,Eletrônicos,7634.42,5273.24,22903.260000000002,15819.72,7083.540000000003
85,2024-04-21,1706,4,7,Loja Física,Home Theater Sony 5.1,Eletrônicos,4001.32,2408.43,28009.24,16859.01,11150.230000000003
86,2021-07-29,1897,9,6,Online,Notebook Dell Inspiron i7,Informática,1086.29,653.25,6517.74,3919.5,2598.24
87,2023-02-20,2297,15,4,Online,SSD Kingston 1TB NVMe,Informática,5336.48,3570.73,21345.92,14282.92,7062.999999999998
88,2022-05-02,1876,11,6,Loja Física,Mouse Logitech MX Master,Informática,5112.4,3396.06,30674.399999999998,20376.36,10298.039999999997
89,2022-09-02,2912,6,3,Online,Projetor Epson Full HD,Eletrônicos,7634.42,5273.24,22903.260000000002,15819.72,7083.540000000003
90,2020-12-15,588,8,4,Online,Console Xbox Series X,Eletrônicos,4071.16,2400.49,16284.64,9601.96,6682.68
91,2025-01-05,1060,8,1,Online,Console Xbox Series X,Eletrônicos,4071.16,2400.49,4071.16,2400.49,1670.67
92,2024-03-23,1983,20,2,Online,Micro-ondas Panasonic 34L,Eletrodomésticos,3450.07,2011.75,6900.14,4023.5,2876.6400000000003
93,2024-05-11,1840,18,4,Loja Física,Geladeira Electrolux Duplex,Eletrodomésticos,4326.85,2981.92,17307.4,11927.68,5379.720000000001
94,2020-10-04,2058,11,7,Online,Mouse Logitech MX Master,Informática,5112.4,3396.06,35786.799999999996,23772.42,12014.379999999997
95,2025-10-20,2009,1,3,Loja Física,Smart TV Samsung 55'' 4K,Eletrônicos,6923.22,4245.0,20769.66,12735.0,8034.66
96,2024-06-27,244,6,7,Loja Física,Projetor Epson Full HD,Eletrônicos,7634.42,5273.24,53440.94,36912.68,16528.260000000002
97,2024-10-12,1151,4,3,Online,Home Theater Sony 5.1,Eletrônicos,4001.32,2408.43,12003.960000000001,7225.289999999999,4778.670000000002
98,2025-10-10,91,2,7,Online,Smart TV LG 50'' UHD,Eletrônicos,6407.56,3703.13,44852.920000000006,25921.91,18931.010000000006
99,2023-05-30,1127,27,7,Online,Guarda-Roupa Casal 6 Portas,Móveis,5033.13,3035.73,35231.91,21250.11,13981.800000000003
100,2023-01-03,157,22,3,Loja Física,Máquina de Lavar LG 12kg,Eletrodomésticos,4764.16,2799.74,14292.48,8399.22,5893.26
101,2021-08-13,2758,16,3,Loja Física,Roteador TP-Link Archer AX,Informática,6915.56,4809.12,20746.68,14427.36,6319.32
102,2021-07-26,266,12,4,Online,Teclado Mecânico Redragon,Informática,1629.36,1125.69,6517.44,4502.76,2014.6799999999994
103,2022-08-02,2802,17,6,Online,Geladeira Brastemp Frost Free,Eletrodomésticos,546.67,374.21,3280.0199999999995,2245.2599999999998,1034.7599999999998
104,2025-01-03,2764,10,1,Loja Física,Notebook Lenovo ThinkPad i5,Informática,6720.74,3840.64,6720.74,3840.64,2880.1
105,2022-01-08,309,1,1,Online,Smart TV Samsung 55'' 4K,Eletrônicos,6923.22,4245.0,6923.22,4245.0,2678.2200000000003
106,2023-08-30,1299,25,4,Online,Mesa de Jantar 6 Lugares,Móveis,4117.42,2372.87,16469.68,9491.48,6978.200000000001
107,2021-02-20,703,1,7,Loja Física,Smart TV Samsung 55'' 4K,Eletrônicos,6923.22,4245.0,48462.54,29715.0,18747.54
108,2021-06-23,2563,2,5,Loja Física,Smart TV LG 50'' UHD,Eletrônicos,6407.56,3703.13,32037.800000000003,18515.65,13522.150000000001
109,2024-03-25,2086,29,1,Online,Cama Box Queen Ortobom,Móveis,6270.45,4371.0,6270.45,4371.0,1899.4499999999998
110,2023-08-17,380,11,1,Loja Física,Mouse Logitech MX Master,Informática,5112.4,3396.06,5112.4,3396.06,1716.3399999999997
111,2024-06-03,372,21,7,Online,Lava e Seca Samsung 11kg,Eletrodomésticos,7766.06,4873.27,54362.420000000006,34112.89,20249.530000000006
112,2025-07-13,2601,28,2,Loja Física,Rack para TV até 65'',Móveis,6228.14,3817.63,12456.28,7635.26,4821.02
113,2022-08-26,2516,25,2,Online,Mesa de Jantar 6 Lugares,Móveis,4117.42,2372.87,8234.84,4745.74,3489.1000000000004
114,2022-07-21,1856,22,1,Online,Máquina de Lavar LG 12kg,Eletrodomésticos,4764.16,2799.74,4764.16,2799.74,1964.42
115,2020-09-05,2103,10,7,Loja Física,Notebook Lenovo ThinkPad i5,Informática,6720.74,3840.64,47045.18,26884.48,20160.7
116,2022-03-27,221,2,5,Loja Física,Smart TV LG 50'' UHD,Eletrônicos,6407.56,3703.13,32037.800000000003,18515.65,13522.150000000001
117,2021-10-29,2823,25,7,Loja Física,Mesa de Jantar 6 Lugares,Móveis,4117.42,2372.87,28821.940000000002,16610.09,12211.850000000002
118,2022-08-22,2371,19,3,Loja Física,Fogão Consul 5 Bocas,Eletrodomésticos,5102.69,3248.45,15308.07,9745.349999999999,5562.720000000001
119,2025-05-16,1252,12,1,Loja Física,Teclado Mecânico Redragon,Informática,1629.36,1125.69,1629.36,1125.69,503.66999999999985
120,2023-07-15,2422,17,5,Online,Geladeira Brastemp Frost Free,Eletrodomésticos,546.67,374.21,2733.35,1871.05,862.3
121,2022-03-11,2198,1,3,Online,Smart TV Samsung 55'' 4K,Eletrônicos,6923.22,4245.0,20769.66,12735.0,8034.66
122,2020-12-12,103,8,7,Online,Console Xbox Series X,Eletrônicos,4071.16,2400.49,28498.12,16803.43,11694.689999999999
123,2021-01-29,2458,29,5,Online,Cama Box Queen Ortobom,Móveis,6270.45,4371.0,31352.25,21855.0,9497.25
124,2020-03-05,2139,4,4,Loja Física,Home Theater Sony 5.1,Eletrônicos,4001.32,2408.43,16005.28,9633.72,6371.560000000001
125,2023-02-20,1254,18,1,Loja Física,Geladeira Electrolux Duplex,Eletrodomésticos,4326.85,2981.92,4326.85,2981.92,1344.9300000000003
126,2025-12-17,1799,27,4,Loja Física,Guarda-Roupa Casal 6 Portas,Móveis,5033.13,3035.73,20132.52,12142.92,7989.6
127,2020-11-06,2520,15,2,Loja Física,SSD Kingston 1TB NVMe,Informática,5336.48,3570.73,10672.96,7141.46,3531.499999999999
128,2024-04-29,1447,4,1,Online,Home Theater Sony 5.1,Eletrônicos,4001.32,2408.43,4001.32,2408.43,1592.8900000000003
129,2023-06-24,2569,2,7,Online,Smart TV LG 50'' UHD,Eletrônicos,6407.56,3703.13,44852.920000000006,25921.91,18931.010000000006
130,2023-02-21,2504,15,3,Online,SSD Kingston 1TB NVMe,Informática,5336.48,3570.73,16009.439999999999,10712.19,5297.249999999998
131,2024-09-24,2436,29,6,Loja Física,Cama Box Queen Ortobom,Móveis,6270.45,4371.0,37622.7,26226.0,11396.699999999997
132,2020-05-24,465,25,2,Online,Mesa de Jantar 6 Lugares,Móveis,4117.42,2372.87,8234.84,4745.74,3489.1000000000004
133,2025-11-16,1430,14,6,Loja Física,Impressora HP LaserJet,Informática,4354.16,2728.75,26124.96,16372.5,9752.46
134,2020-02-11,1810,27,5,Loja Física,Guarda-Roupa Casal 6 Portas,Móveis,5033.13,3035.73,25165.65,15178.65,9987.000000000002
135,2025-10-14,2126,25,4,Loja Física,Mesa de Jantar 6 Lugares,Móveis,4117.42,2372.87,16469.68,9491.48,6978.200000000001
136,2023-04-06,1982,13,3,Online,Monitor LG 27'' IPS,Informática,5017.08,2994.25,15051.24,8982.75,6068.49
137,2021-01-23,2528,12,1,Loja Física,Teclado Mecânico Redragon,Informática,1629.36,1125.69,1629.36,1125.69,503.66999999999985
138,2023-03-03,1925,17,4,Online,Geladeira Brastemp Frost Free,Eletrodomésticos,546.67,374.21,2186.68,1496.84,689.8399999999999
139,2020-02-17,200,7,4,Loja Física,Console PlayStation 5,Eletrônicos,5960.31,3348.83,23841.24,13395.32,10445.920000000002
140,2020-05-11,868,21,4,Loja Física,Lava e Seca Samsung 11kg,Eletrodomésticos,7766.06,4873.27,31064.24,19493.08,11571.16
141,2025-05-14,38,6,7,Online,Projetor Epson Full HD,Eletrônicos,7634.42,5273.24,53440.94,36912.68,16528.260000000002
142,2024-11-15,562,17,1,Online,Geladeira Brastemp Frost Free,Eletrodomésticos,546.67,374.21,546.67,374.21,172.45999999999998
143,2020-07-07,2206,2,3,Online,Smart TV LG 50'' UHD,Eletrônicos,6407.56,3703.13,19222.68,11109.39,8113.290000000001
144,2021-01-16,2010,20,7,Online,Micro-ondas Panasonic 34L,Eletrodomésticos,3450.07,2011.75,24150.49,14082.25,10068.240000000002
145,2020-06-04,2578,10,6,Online,Notebook Lenovo ThinkPad i5,Informática,6720.74,3840.64,40324.44,23043.84,17280.600000000002
146,2020-07-01,533,26,3,Online,Cadeira Escritório Presidente,Móveis,1944.73,1335.92,5834.1900000000005,4007.76,1826.4300000000003
147,2024-06-23,2479,15,1,Online,SSD Kingston 1TB NVMe,Informática,5336.48,3570.73,5336.48,3570.73,1765.7499999999995
148,2025-07-09,2112,27,5,Online,Guarda-Roupa Casal 6 Portas,Móveis,5033.13,3035.73,25165.65,15178.65,9987.000000000002
149,2023-12-04,2922,12,5,Online,Teclado Mecânico Redragon,Informática,1629.36,1125.69,8146.799999999999,5628.450000000001,2518.3499999999985
150,2022-11-09,2172,22,4,Loja Física,Máquina de Lavar LG 12kg,Eletrodomésticos,4764.16,2799.74,19056.64,11198.96,7857.68
151,2021-07-25,1299,27,3,Online,Guarda-Roupa Casal 6 Portas,Móveis,5033.13,3035.73,15099.39,9107.19,5992.199999999999
152,2022-06-21,1023,7,1,Online,Console PlayStation 5,Eletrônicos,5960.31,3348.83,5960.31,3348.83,2611.4800000000005
153,2020-06-04,2667,5,3,Online,TV Box Xiaomi Mi S,Eletrônicos,7523.39,4542.05,22570.170000000002,13626.150000000001,8944.02
154,2023-01-31,607,29,4,Loja Física,Cama Box Queen Ortobom,Móveis,6270.45,4371.0,25081.8,17484.0,7597.799999999999
155,2023-11-03,1630,29,4,Loja Física,Cama Box Queen Ortobom,Móveis,6270.45,4371.0,25081.8,17484.0,7597.799999999999
156,2024-04-30,2911,20,7,Loja Física,Micro-ondas Panasonic 34L,Eletrodomésticos,3450.07,2011.75,24150.49,14082.25,10068.240000000002
157,2024-02-06,2854,25,1,Online,Mesa de Jantar 6 Lugares,Móveis,4117.42,2372.87,4117.42,2372.87,1744.5500000000002
158,2020-10-15,2450,7,7,Online,Console PlayStation 5,Eletrônicos,5960.31,3348.83,41722.170000000006,23441.809999999998,18280.360000000008
159,2020-04-23,2738,3,6,Loja Física,Soundbar JBL 2.1,Eletrônicos,1826.42,1018.29,10958.52,6109.74,4848.780000000001
160,2022-06-27,718,18,7,Loja Física,Geladeira Electrolux Duplex,Eletrodomésticos,4326.85,2981.92,30287.950000000004,20873.440000000002,9414.510000000002
161,2022-07-11,237,10,7,Loja Física,Notebook Lenovo ThinkPad i5,Informática,6720.74,3840.64,47045.18,26884.48,20160.7
162,2020-09-06,2700,23,5,Loja Física,Freezer Vertical Consul,Eletrodomésticos,5877.12,3587.57,29385.6,17937.850000000002,11447.749999999996
163,2022-11-30,1180,3,6,Online,Soundbar JBL 2.1,Eletrônicos,1826.42,1018.29,10958.52,6109.74,4848.780000000001
164,2025-08-22,240,20,5,Online,Micro-ondas Panasonic 34L,Eletrodomésticos,3450.07,2011.75,17250.350000000002,10058.75,7191.600000000002
165,2023-02-21,2716,11,6,Online,Mouse Logitech MX Master,Informática,5112.4,3396.06,30674.399999999998,20376.36,10298.039999999997
166,2023-11-12,934,1,3,Online,Smart TV Samsung 55'' 4K,Eletrônicos,6923.22,4245.0,20769.66,12735.0,8034.66
167,2023-04-20,2593,26,5,Online,Cadeira Escritório Presidente,Móveis,1944.73,1335.92,9723.65,6679.6,3044.0499999999993
168,2021-04-26,1503,18,4,Loja Física,Geladeira Electrolux Duplex,Eletrodomésticos,4326.85,2981.92,17307.4,11927.68,5379.720000000001
169,2020-07-13,2823,1,4,Loja Física,Smart TV Samsung 55'' 4K,Eletrônicos,6923.22,4245.0,27692.88,16980.0,10712.880000000001
170,2023-02-17,1934,22,5,Online,Máquina de Lavar LG 12kg,Eletrodomésticos,4764.16,2799.74,23820.8,13998.699999999999,9822.1
171,2022-01-28,2485,13,6,Online,Monitor LG 27'' IPS,Informática,5017.08,2994.25,30102.48,17965.5,12136.98
172,2020-01-30,1820,20,2,Loja Física,Micro-ondas Panasonic 34L,Eletrodomésticos,3450.07,2011.75,6900.14,4023.5,2876.6400000000003
173,2024-11-17,1655,29,5,Online,Cama Box Queen Ortobom,Móveis,6270.45,4371.0,31352.25,21855.0,9497.25
174,2025-01-04,759,23,1,Online,Freezer Vertical Consul,Eletrodomésticos,5877.12,3587.57,5877.12,3587.57,2289.5499999999997
175,2020-07-03,354,7,1,Loja Física,Console PlayStation 5,Eletrônicos,5960.31,3348.83,5960.31,3348.83,2611.4800000000005
176,2023-04-24,1703,23,7,Online,Freezer Vertical Consul,Eletrodomésticos,5877.12,3587.57,41139.84,25112.99,16026.849999999995
177,2021-09-16,251,21,1,Online,Lava e Seca Samsung 11kg,Eletrodomésticos,7766.06,4873.27,7766.06,4873.27,2892.79
178,2022-03-01,2351,7,3,Online,Console PlayStation 5,Eletrônicos,5960.31,3348.83,17880.93,10046.49,7834.4400000000005
179,2023-10-22,1196,18,4,Loja Física,Geladeira Electrolux Duplex,Eletrodomésticos,4326.85,2981.92,17307.4,11927.68,5379.720000000001
180,2024-08-30,531,22,4,Online,Máquina de Lavar LG 12kg,Eletrodomésticos,4764.16,2799.74,19056.64,11198.96,7857.68
181,2022-07-04,2138,16,5,Loja Física,Roteador TP-Link Archer AX,Informática,6915.56,4809.12,34577.8,24045.6,10532.200000000004
182,2025-12-24,2723,6,1,Loja Física,Projetor Epson Full HD,Eletrônicos,7634.42,5273.24,7634.42,5273.24,2361.1800000000003
183,2022-08-14,1254,21,3,Online,Lava e Seca Samsung 11kg,Eletrodomésticos,7766.06,4873.27,23298.18,14619.810000000001,8678.369999999999
184,2020-10-09,234,19,6,Online,Fogão Consul 5 Bocas,Eletrodomésticos,5102.69,3248.45,30616.14,19490.699999999997,11125.440000000002
185,2024-01-23,2538,19,4,Online,Fogão Consul 5 Bocas,Eletrodomésticos,5102.69,3248.45,20410.76,12993.8,7416.959999999999
186,2021-05-04,926,15,6,Loja Física,SSD Kingston 1TB NVMe,Informática,5336.48,3570.73,32018.879999999997,21424.38,10594.499999999996
187,2023-01-03,2578,8,6,Online,Console Xbox Series X,Eletrônicos,4071.16,2400.49,24426.96,14402.939999999999,10024.02
188,2020-04-18,1318,5,5,Loja Física,TV Box Xiaomi Mi S,Eletrônicos,7523.39,4542.05,37616.950000000004,22710.25,14906.700000000004
189,2024-11-04,1249,18,4,Online,Geladeira Electrolux Duplex,Eletrodomésticos,4326.85,2981.92,17307.4,11927.68,5379.720000000001
190,2020-11-12,1691,19,4,Online,Fogão Consul 5 Bocas,Eletrodomésticos,5102.69,3248.45,20410.76,12993.8,7416.959999999999
191,2025-05-05,1699,7,6,Online,Console PlayStation 5,Eletrônicos,5960.31,3348.83,35761.86,20092.98,15668.880000000001
192,2021-02-27,1475,29,7,Online,Cama Box Queen Ortobom,Móveis,6270.45,4371.0,43893.15,30597.0,13296.150000000001
193,2020-12-07,2782,27,7,Loja Física,Guarda-Roupa Casal 6 Portas,Móveis,5033.13,3035.73,35231.91,21250.11,13981.800000000003
194,2020-08-31,805,15,4,Online,SSD Kingston 1TB NVMe,Informática,5336.48,3570.73,21345.92,14282.92,7062.999999999998
195,2021-09-20,1468,15,2,Loja Física,SSD Kingston 1TB NVMe,Informática,5336.48,3570.73,10672.96,7141.46,3531.499999999999
196,2025-05-11,2840,18,4,Online,Geladeira Electrolux Duplex,Eletrodomésticos,4326.85,2981.92,17307.4,11927.68,5379.720000000001
197,2023-06-04,284,6,2,Loja Física,Projetor Epson Full HD,Eletrônicos,7634.42,5273.24,15268.84,10546.48,4722.360000000001
198,2025-09-14,885,14,5,Online,Impressora HP LaserJet,Informática,4354.16,2728.75,21770.8,13643.75,8127.049999999999
