ID_Produto,Produto,Categoria,Preco_Unitario,Custo_Unitario
91,Móveis Modelo 16,Móveis,1337.03,742.13
92,Móveis Modelo 17,Móveis,1227.95,773.25
93,Móveis Modelo 18,Móveis,4309.46,2701.71
94,Móveis Modelo 19,Móveis,2033.19,1405.0
95,Móveis Modelo 20,Móveis,1934.88,1186.91
96,Móveis Modelo 21,Móveis,5308.57,3187.24
97,Móveis Modelo 22,Móveis,2690.61,1616.39
98,Móveis Modelo 23,Móveis,6737.45,4076.56
99,Móveis Modelo 24,Móveis,4302.28,2610.13
100,Móveis Modelo 25,Móveis,1284.64,730.74
